week,business_peak,non_business_peak,business_valley,non_business_valley,month,month_business_peak,month_non_business_peak,month_non_business_valley,month_business_valley
1,13,19,16,5,1,12.0,19.0,5.0,16.0
2,12,19,16,5,1,12.0,19.0,5.0,16.0
3,12,19,17,5,1,12.0,19.0,5.0,16.0
4,12,19,16,5,1,12.0,19.0,5.0,16.0
5,12,19,16,5,2,12.0,19.0,5.0,17.0
6,12,19,17,5,2,12.0,19.0,5.0,17.0
7,12,19,17,5,2,12.0,19.0,5.0,17.0
8,12,19,17,5,2,12.0,19.0,5.0,17.0
9,12,20,17,5,3,11.0,20.0,5.0,17.0
10,9,20,17,5,3,11.0,20.0,5.0,17.0
11,12,20,17,5,3,11.0,20.0,5.0,17.0
12,12,20,18,5,3,11.0,20.0,5.0,17.0
13,10,20,17,5,4,11.0,21.0,5.0,18.0
14,12,21,18,5,4,11.0,21.0,5.0,18.0
15,11,21,18,5,4,11.0,21.0,5.0,18.0
16,12,21,18,5,4,11.0,21.0,5.0,18.0
17,12,22,18,5,5,12.0,23.0,5.0,18.0
18,12,23,17,5,5,12.0,23.0,5.0,18.0
19,12,23,17,5,5,12.0,23.0,5.0,18.0
20,12,23,18,5,5,12.0,23.0,5.0,18.0
21,12,19,18,5,6,12.0,21.0,5.0,18.0
22,12,23,18,5,6,12.0,21.0,5.0,18.0
23,12,23,18,5,6,12.0,21.0,5.0,18.0
24,12,19,18,5,6,12.0,21.0,5.0,18.0
25,12,19,18,5,7,12.0,19.0,5.0,18.0
26,12,19,18,5,7,12.0,19.0,5.0,18.0
27,12,19,18,5,7,12.0,19.0,5.0,18.0
28,12,19,18,5,7,12.0,19.0,5.0,18.0
29,12,19,18,4,8,12.0,22.0,5.0,18.0
30,12,23,18,5,8,12.0,22.0,5.0,18.0
31,12,23,18,5,8,12.0,22.0,5.0,18.0
32,12,23,18,5,8,12.0,22.0,5.0,18.0
33,12,23,17,5,9,12.0,22.0,5.0,18.0
34,12,22,17,5,9,12.0,22.0,5.0,18.0
35,12,22,18,5,9,12.0,22.0,5.0,18.0
36,12,21,18,5,9,12.0,22.0,5.0,18.0
37,12,21,18,5,10,12.0,21.0,5.0,18.0
38,12,21,17,5,10,12.0,21.0,5.0,18.0
39,12,21,17,5,10,12.0,21.0,5.0,18.0
40,12,20,18,4,10,12.0,21.0,5.0,18.0
41,12,20,18,5,11,12.0,20.0,5.0,17.0
42,12,20,17,5,11,12.0,20.0,5.0,17.0
43,12,20,17,5,11,12.0,20.0,5.0,17.0
44,12,19,16,5,11,12.0,20.0,5.0,17.0
45,11,19,16,5,12,12.0,19.0,5.0,16.0
46,12,19,16,5,12,12.0,19.0,5.0,16.0
47,12,19,16,5,12,12.0,19.0,5.0,16.0
48,12,19,16,5,12,12.0,19.0,5.0,16.0
49,12,19,16,5,12,12.0,19.0,5.0,16.0
50,12,19,16,5,13,12.0,19.0,5.0,16.0
51,11,19,16,5,13,12.0,19.0,5.0,16.0
52,12,19,16,5,13,12.0,19.0,5.0,16.0
53,13,19,16,5,13,12.0,19.0,5.0,16.0
